13;Imogen Heap;Folk / Pop / Rock
19;Rome;Indie Folk
38;Rick Wakeman;Rock Progressif
19;M. Ward;Indie Folk
17;Machine Head;Hard Rock / Heavy Metal
13;Billy Joel;Folk / Pop / Rock
21;The Dave Brubeck Quartet;Jazz / Classique
7;At the Gates;Death Metal Mélodique
14;Lizzy Mercier Descloux;FR
20;(Sandy) Alex G;Indie Pop / Indie Rock
20;Gravenhurst;Indie Pop / Indie Rock
13;The Beatles;Folk / Pop / Rock
31;Buzzcocks;Post-Punk / New Wave
12;The Field;Electro / Techno
36;Solange;R&B
31;Echo & The Bunnymen;Post-Punk / New Wave
14;Jacques Brel;FR
33;Nightwish;Power Metal
20;Big Thief;Indie Pop / Indie Rock
14;Jacques Higelin;FR
31;The Cars;Post-Punk / New Wave
5;Suede;Britpop
31;Elvis Costello;Post-Punk / New Wave
20;The Dandy Warhols;Indie Pop / Indie Rock
3;billwurtz;bill wurtz
11;Charli XCX;Electro / Electropop
13;Nits;Folk / Pop / Rock
44;Chico Hamilton;World Music
20;Jim O’Rourke;Indie Pop / Indie Rock
20;R.E.M_;Indie Pop / Indie Rock
27;The Cinematic Orchestra;Nu Jazz
20;dEUS;Indie Pop / Indie Rock
8;Catamenia;Doom / Gothic Metal
8;Sentenced;Doom / Gothic Metal
32;Exsonvaldes;Post-Rock
5;Doves;Britpop
13;Cyndi Lauper;Folk / Pop / Rock
19;Beach House;Indie Folk
20;The Apples in Stereo;Indie Pop / Indie Rock
42;Donny Hathaway;Soul / Funk
13;Eric Clapton;Folk / Pop / Rock
42;Minnie Riperton;Soul / Funk
29;Bruno Mars;Pop Rock
19;Lucinda Williams;Indie Folk
40;King Gizzard & The Lizard Wizard;Rock Psychédélique
38;The Alan Parsons Project;Rock Progressif
20;Metric;Indie Pop / Indie Rock
20;of Montreal;Indie Pop / Indie Rock
